ID товара;Название;Цена со скидкой;Старая цена;Размер скидки (руб);Остаток в магазине;Рейтинг;Кол-во отзывов
1000246228;Яйца Лето С1 коричневые 10шт;104.99;Нет скидки;0;72;4.8;175
3454700001;Куриное яйцо C1 10шт в ассортименте;69.39;Нет скидки;0;4;4.8;5343
1899800733;Молоко Простоквашино пастеризованное 2.5% 930мл;89.99;Нет скидки;0;2;4.9;1600
2047000014;Куриное яйцо СО 10шт в ассортименте;99.99;129.99;30.0;4;4.8;7628
1829990260;Молоко Коровка из Кореновки пастеризованное 2.7% 900г;94.99;109.99;15.0;26;4.9;80
1000304501;Молоко Платье в Горошек пастеризованное 2.5% 900мл;79.99;Нет скидки;0;29;4.8;52
1854400012;Масло сливочное Коровка из Кореновки 82.5% 170г;189.99;Нет скидки;0;2;4.9;294
1000554391;Майонез Mr. Ricco Провансаль 67% 630г;149.99;209.99;60.0;4;4.9;351
1000451006;Сыр Брест-Литовск Королевский полутвёрдый 45% 200г;169.99;249.99;80.0;6;4.8;2813
1000143304;Молоко пастеризованное Кубанская буренка 2.5% 1.4л;139.99;Нет скидки;0;67;4.9;622
8000034310;Масло сливочное Белебеевский Традиционное 82.5% 170г;179.99;359.99;180.0;65;4.9;89
1000242396;Творожные палочки Свитлогорье ванильные в карамельной глазури 23% 180г;169.99;229.99;60.0;12;4.9;634
1000531310;Сыр Николаевские сыроварни Российский 50% 180г;159.99;249.99;90.0;56;4.9;127
2047000033;Яйцо Окское С1 белые 10шт;104.99;Нет скидки;0;4;4.8;311
1899911818;Сырок творожный Вкуснотеево глазированный с вареной сгущенкой 23% 40г;34.99;Нет скидки;0;9;4.9;86
1000354477;Молоко Чабан Халяль 2.5% 930г;99.99;Нет скидки;0;19;5;229
1000566328;Сыр Сыробогатов Король сыров с ароматом топленого молока 40% 180г;169.99;249.99;80.0;28;4.9;124
2047000007;Куриное яйцо С2 10шт в ассортименте;63.99;Нет скидки;0;19;4.7;2551
1000383360;Сыр Сметанковый Варвара Краса 50% 160г;149.99;Нет скидки;0;6;4.9;2538
1000175792;Йогурт Савушкин продукт Греческий 2% 140г;61.99;Нет скидки;0;41;5;563
1000172831;Молоко Кубанский молочник пастеризованное 2.5% 720г;79.99;Нет скидки;0;25;4.9;107
8000027253;Тертый сыр Голландский 45% Landkaas 200г;179.99;Нет скидки;0;37;4.9;584
1000109163;Молоко Агрокомплекс пастеризованное 2.5% 900мл;79.99;Нет скидки;0;44;4.9;162
1000381717;Продукт творожный ананас и банан Простоквашино 3.6% 110г;39.99;Нет скидки;0;15;4.9;468
1000367079;Сыр Белебеевский Голландский 45% 190г;179.99;219.99;40.0;18;5;101
1000013704;Кефир Коровка из Кореновки 2.7% 900г;104.99;Нет скидки;0;14;4.9;300
1000337762;Сметана Коровка из Кореновки 20% 300г;109.99;Нет скидки;0;20;5;320
1899911997;Творог Кубанский Молочник 5% 180г;74.99;Нет скидки;0;125;4.8;448
1000577115;Продукт творожный голубика и банан Простоквашино 3.6% 110г;39.99;Нет скидки;0;17;4.9;266
1000372784;Сметана Простоквашино 10% 300г;74.99;Нет скидки;0;47;4.9;1076
1000337761;Сметана Коровка из Кореновки 15% 300г;99.99;Нет скидки;0;40;4.9;188
1000253705;Сметана Вкуснотеево 15% 300г;92.99;Нет скидки;0;36;4.9;147
