Категория;Товар;Цена со скидкой;Старая цена;Скидка (%);Выгода (руб);Остаток
Птица, мясо, рыба;Колбаса Останкино Итальянское Ассорти сыровяленое полусухое 90г;119.99;249.99;52;130.0;6
Птица, мясо, рыба;Карбонад EatMeat варено-копченый нарезка 100г;99.99;199.99;50;100.0;5
Молочное;Масло сливочное Белебеевский Традиционное 82.5% 170г;179.99;359.99;50;180.0;63
Птица, мясо, рыба;Сосиски Черкизово Молочные По-черкизовски 650г;219.99;369.99;41;150.0;5
Птица, мясо, рыба;Ветчина Черкизово для тостов нарезка 100г;99.99;169.99;41;70.0;17
Молочное;Сыр Николаевские сыроварни Российский 50% 180г;159.99;249.99;36;90.0;52
Птица, мясо, рыба;Бедро цыпленка-бройлера;189.99;287.84;34;97.85;2836
Молочное;Сыр Брест-Литовск Королевский полутвёрдый 45% 200г;169.99;249.99;32;80.0;6
Молочное;Сыр Сыробогатов Король сыров с ароматом топленого молока 40% 180г;169.99;249.99;32;80.0;28
Молочное;Майонез Mr. Ricco Провансаль 67% 630г;149.99;209.99;29;60.0;4
Птица, мясо, рыба;Колбаса Рублевский Докторская вареная 400г;229.99;319.99;28;90.0;5
Молочное;Творожные палочки Свитлогорье ванильные в карамельной глазури 23% 180г;169.99;229.99;26;60.0;11
Птица, мясо, рыба;Язык свиной для варки из мороженого сырья;119.99;159.99;25;40.0;1164
Молочное;Куриное яйцо СО 10шт в ассортименте;99.99;129.99;23;30.0;4
Молочное;Яйцо куриное Птицефабрика Новороссийск С0 отборное 10шт;99.99;129.99;23;30.0;4
Птица, мясо, рыба;Фарш М Свежесть Домашний 400г;135.0;169.99;21;34.99;12
Птица, мясо, рыба;Филе грудки индейки обжаренное на гриле Индилайт 300г;279.99;339.99;18;60.0;35
Молочное;Сыр Белебеевский Голландский 45% 190г;179.99;219.99;18;40.0;17
Птица, мясо, рыба;Фарш Индилайт Классический 450г;179.0;209.99;15;30.99;4
Птица, мясо, рыба;Шашлык Гриль стейк;154.99;179.99;14;25.0;3382
Молочное;Молоко Коровка из Кореновки пастеризованное 2.7% 900г;94.99;109.99;14;15.0;23
Птица, мясо, рыба;Азу из индейки М Свежесть кусковая 500г;299.99;339.99;12;40.0;4
Молочное;Яйца Лето С1 коричневые 10шт;99.99;113.99;12;14.0;59
